"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\giorgi.paresishvili\Sites\study\jwt\src\controllers\product.js", "JavaScript", 2, 0, 2, 4
"Total", "-", 2, 0, 2, 4
